scenario_id,scenario_type,cas_usage,step,context,intent,patient_dit,ia_repond,keywords,skip_step_if_motif_detected,action_attendue,valide,remarques,parent_id,type_patient,canal,condition_metier,variantes,,,,,,,,,,
Ouverture_appel_E,scenario_principal,Ouverture appel,0,Ouverture de l’appel,prise_rdv_urgence,"Bonjour, c'est urgent, j'ai très mal à une dent, j'ai besoin de voir quelqu'un rapidement, je ne dors plus la nuit",! Je vais essayer de trouver une solution. Pouvez-vous me donner votre nom ?,"urgence,urgent,très mal,insupportable,vite,rapide,nuit,dors plus",true,identifier_patient,,Cas urgence déclarée d’emblée,,inconnu,téléphone,Pré-tri immédiat par type de patient,"Je comprends, je vais vous aider. Puis-je avoir votre nom ?",,,,,,,,,,
Ouverture_appel_F,scenario_principal,Ouverture appel,0,Patient appelle pour un avis en implantologie,prise_rdv_implantologie,"Bonjour, je voudrais me renseigner sur un implant dentaire pour remplacer une dent manquante, j'ai perdu une dent et je voudrais la remplacer", merci de votre appel.Pouvez-vous me rappeler votre nom ?,"implant,implantologie,vis,remplacer,dent manquante,perdu,trou",true,identifier_documents_existants_et_objectif,,Commencer par identifier le niveau d’information et de préparation du patient,,nouveau ou existant,téléphone,Consultation spécialisée avec ou sans bilan préalable,Est-ce une première démarche ou avez-vous déjà fait des examens ?,,,,,,,,,,
Ouverture_appel_G,scenario_principal,Ouverture appel,0,Premier appel d’un nouveau patient,prise_rdv,"Bonjour, c'est la première fois que j'appelle, je suis nouveau patient, je n'ai jamais consulté chez vous auparavant",Bienvenue ! Je vais créer votre fiche. Pouvez-vous me donner votre nom et prénom ?,"rendez-vous,première fois,nouveau,jamais venu,dossier,jamais consulté,nouveau patient",false,collecter_infos_initiales,,Déclenche création fiche,,nouveau,téléphone,Création fiche obligatoire,Bienvenue au cabinet ! Je vais avoir besoin d'informations pour commencer.,,,,,,,,,,
Ouverture_appel_H,scenario_principal,Ouverture appel,0,Rendez-vous pour un proche,prise_rdv_tiers,"Bonjour, je prends rendez-vous pour ma fille, c'est pour un enfant, elle a mal à une dent de lait",! Pouvez-vous me rappeler votre nom ainsi que le nom de votre fille ?,"rendez-vous,tiers,proche,pour,fille,fils,mère,père,femme,mari,amie,ami,enfant,conjoint,dent de lait",false,identifier_patient_relatif,,Cas pour tiers,,existant,téléphone,Nom du patient requis pour chercher le dossier,Quel est le nom de votre enfant ?,,,,,,,,,,
Ouverture_appel_I,scenario_principal,Ouverture appel,0,Premier contact pour un enfant,prise_rdv_ortho_enfant,"Bonjour, ma fille a besoin d'un appareil dentaire, je voudrais un rendez-vous orthodontie pour un enfant, elle a les dents tordues"," merci de votre appel,Pouvez-vous me rappeler votre nom ainsi que le nom de votre fille ?","orthodontie,rendez-vous,proche,fille,appareil,dents tordues,bagues,alignement",true,identifier_premier_contact_ou_suivi,,Faire la distinction entre consultation initiale et suivi,,enfant,téléphone,Orthodontiste dédié ou généraliste formé ?,Est-ce un premier avis ou un traitement déjà commencé ?,,,,,,,,,,
Ouverture_appel_K,scenario_principal,Ouverture appel,0,Patient adulte demande un avis en orthodontie,prise_rdv_ortho_adulte,Je voudrais savoir si je peux faire un traitement d’orthodontie., merci de votre appel.Pouvez-vous me rappeler votre nom ?,"orthodontie,rendez-vous,adulte,aligner,dents droites",true,identifier_premier_contact_ou_suivi,,Faire la différence entre première démarche et suivi en cours,,adulte,téléphone,Consultation initiale = facturation potentielle,Vous cherchez un premier avis ou vous êtes déjà en traitement ?,,,,,,,,,,
ANNUL_1,scenario_principal,Annulation RDV,0,Patient souhaite annuler un rendez-vous,annulation,"Je souhaite annuler mon rendez-vous, je ne pourrai pas venir, il faut supprimer ma réservation de jeudi prochain","Très bien, je vais annuler votre rendez-vous. Souhaitez-vous le reprogrammer à une autre date ?","annuler,annulation,annule,annulé,supprimer,supprime,annuler rendez-vous,annuler rdv,annuler mon rendez-vous,je voudrais annuler,pas venir,empêchement,décommander",false,annuler_rdv_et_proposer_nouveau,,Demander vérification identité + date avant action,,existant,téléphone,Confirmer identité + supprimer dans le planning,Souhaitez-vous fixer une nouvelle date tout de suite ?,,,,,,,,,,
REPORT_1,scenario_principal,Report RDV,0,Patient veut déplacer un rendez-vous,report,"Je voudrais décaler mon rendez-vous à une autre date, reporter à un autre jour, modifier le créneau prévu",Bien sûr. Je regarde les créneaux disponibles pour vous proposer une autre date.,"report de rendez-vous,changer créneau,proposer alternative,nouvelle date,remplacer le rendez-vous,reporter,décaler,déplacer rendez-vous,changer la date,modifier rendez-vous,repousser,reprogrammer,changer,bouger,remettre",false,proposer_creneaux_alternatifs,,Identifier RDV initial + chercher alternatives,,existant,téléphone,Vérifier si report dans délai acceptable,Je vous propose plusieurs créneaux de remplacement.,,,,,,,,,,
ADMIN_demande_attestation_1,scenario_principal,Demande administrative,0,Demande d’attestation de soins,attestation_soins, j’aurais besoin d’une attestation pour ma mutuelle.,Bien sûr. Pouvez-vous me préciser pour quelle date de soin vous avez besoin de l’attestation ?,"attestation,attestation soins,attestation mutuelle,justificatif,document assurance,papier,preuve",false,collecter_date_attestation,admin_demande,existant,,Attestation à générer via logiciel métier,téléphone,,"D’accord, c’est pour quel rendez-vous exactement ?",,,,,,,,,,
ADMIN_demande_devis_2,scenario_principal,Demande administrative,0,Demande de duplicata de devis,devis_duplicata,"Je n’ai plus mon devis, est-ce que vous pouvez me le renvoyer ?","Oui bien sûr. Pouvez-vous me rappeler votre nom et le traitement concerné (ex : implant, couronne...) ?","devis,duplicata,copie devis,devis perdu,renvoi devis,renvoyer,mail",false,identifier_patient_et_devis,admin_demande,existant,,Vérifier dans dossier si devis signé,téléphone,,"Je vais vérifier dans votre dossier, c’est pour quelle intervention ?",,,,,,,,,,
ADMIN_question_facture_3,scenario_principal,Demande administrative,0,Question sur une facture ou reste à charge,facture_infos,"Je ne comprends pas ma facture, j’ai un reste à charge de 120€.",Je comprends. Pour quelle date de soin est-ce que cela concerne ? Je vais regarder avec le secrétariat.,"facture,reste à charge,paiement,montant,explication,payer,prix,coût",false,identifier_date_facture,admin_demande,existant,,Permet de réadresser vers assistant(e) référent(e),téléphone,,C’est bien une facture pour un soin récent ? Je regarde.,,,,,,,,,,
ADMIN_changement_coordonnees_4,scenario_principal,Demande administrative,0,Changement d’adresse ou téléphone,modif_coordonnees,"J’ai déménagé, je voudrais mettre à jour mon adresse.",Merci de m’indiquer votre nouvelle adresse complète et votre numéro de téléphone s’il a changé.,"changement adresse,coordonnées,numéro,téléphone,déménagement,nouvelle adresse,changer",false,mise_a_jour_fiche,admin_demande,existant,,Mettre à jour logiciel de gestion,téléphone,,Je vous écoute pour la nouvelle adresse.,,,,,,,,,,
ADMIN_rdv_non_honore_5,scenario_principal,Demande administrative,0,Patient conteste un rendez-vous non honoré,rdv_non_honore,"J’ai reçu un message disant que je n’étais pas venu, mais je n’avais pas rendez-vous !",D’accord. Je vais vérifier les enregistrements. Pouvez-vous me rappeler votre nom et la date supposée du rendez-vous ?,"rendez-vous non honoré,absent,contestation,erreur planning,non venu,pas là,lapin,message",false,verifier_absence,admin_demande,existant,,Vérifier l’historique du planning,téléphone,,"Je regarde cela pour vous, un instant.",,,,,,,,,,
ADMIN_envoyer_dossier_radio_6,scenario_principal,Demande administrative,0,Demande d’envoi de radios,envoi_radio,Est-ce que vous pouvez m’envoyer mes radios par mail ?,Bien sûr. À quelle adresse email souhaitez-vous qu’on les envoie ?,"radios,dossier radio,radiographie,images,envoyer radios,clichés,panoramique,mail",false,confirmer_email,admin_demande,existant,,Email sécurisé ou lien temporaire,téléphone,,"Je peux vous les envoyer, avez-vous une adresse email à me confirmer ?",,,,,,,,,,
ADMIN_question_remboursement_7,scenario_principal,Demande administrative,0,Remboursement mutuelle non perçu,question_remboursement,Je n’ai pas encore été remboursé par ma mutuelle.,Je comprends. Je vais vérifier si la télétransmission a bien été envoyée. Pouvez-vous me rappeler la date du soin ?,"remboursement,mutuelle,télétransmission,CPAM,feuille de soins,sécu,argent,virement",false,verifier_teletransmission,admin_demande,existant,,Vérifier dans logiciel santé,téléphone,,Je vérifie si tout a bien été transmis. C’était pour quelle date ?,,,,,,,,,,
ADMIN_envoyer_courrier_confrere_8,scenario_principal,Demande administrative,0,Demande de courrier pour confrère,courrier_confrere,Le spécialiste m’a demandé un courrier de votre part.,Très bien. Pourriez-vous me rappeler quel est le nom du confrère et le motif de la demande ?,"courrier,spécialiste,confrère,lettre,document médical,mot,docteur",false,generer_courrier,admin_demande,existant,,Rédaction par le praticien,téléphone,,"Je transmets la demande au docteur, c’est pour quel spécialiste ?",,,,,,,,,,
ADMIN_demande_carte_vitale_9,scenario_principal,Demande administrative,0,Carte Vitale oubliée ou non lue,probleme_carte_vitale,"Ma carte vitale ne passe pas, comment faire ?",Pas de souci. Nous pourrons faire une feuille de soins manuelle si nécessaire. Avez-vous votre attestation papier ?,"carte vitale,problème carte vitale,feuille de soins,non lue,attestation papier,sécurité sociale,carte,vitale,puce",false,evaluer_alternative_secu,admin_demande,existant,,À transmettre à la CPAM,téléphone,,"Si besoin, nous vous enverrons une feuille de soins. Vous avez une attestation ?",,,,,,,,,,
ADMIN_demande_protocole_implant_10,scenario_principal,Demande administrative,0,Patient souhaite protocole écrit pour mutuelle,protocole_implant,Ma mutuelle me demande un protocole écrit pour le traitement implantaire.,D’accord. Je vais transmettre la demande au praticien. Nous vous l’enverrons dès qu’il sera rédigé.,"protocole,implant,mutuelle,protocole écrit,plan traitement,document,papier",false,transmettre_demande_implant,admin_demande,existant,,Dépend de la disponibilité du praticien,téléphone,,Je m’en occupe. Le docteur va préparer ce document rapidement.,,,,,,,,,,
LITIGE_facture_erronee_1,scenario_principal,Litige administratif,0,Facture perçue comme incorrecte,facture_incorrecte,Je pense qu’il y a une erreur dans la facture que j’ai reçue.,Je comprends. Pouvez-vous me dire à quelle date correspond cette facture ? Je vais vérifier avec le secrétariat.,"facture incorrecte,erreur facture,facture fausse,montant erroné,problème prix,trop cher",false,verifier_facture,admin_litige,existant,,"Comparer devis, facture et acte effectué",téléphone,,"Je vérifie dans votre dossier, un instant.",,,,,,,,,,
LITIGE_non_remboursement_2,scenario_principal,Litige administratif,0,Patient non remboursé par la CPAM ou mutuelle,non_remboursement,"Je n’ai toujours pas été remboursé, c’est normal ?",Je vais regarder si la transmission a bien été effectuée. Pourriez-vous me rappeler la date des soins concernés ?,"non remboursé,remboursement manquant,pas reçu remboursement,problème mutuelle,problème CPAM,pas payé,attente",false,verifier_teletransmission,admin_litige,existant,,"Vérifier Noemie, AMO, AMC",téléphone,,C’était pour quels soins exactement ?,,,,,,,,,,
LITIGE_code_cdm_3,scenario_principal,Litige administratif,0,Code CCAM contesté par mutuelle,code_ccam_mutuelle,Ma mutuelle me dit que le code de l’acte n’est pas bon.,Je note. Je vais demander au praticien de vérifier s’il y a eu une erreur dans le codage de l’acte.,"code acte,code CCAM,erreur codage,mutuelle refuse code,contestation acte,mauvais code,rejet",false,controle_code_acte,admin_litige,existant,,Coordonner avec le praticien et AMO,téléphone,,Je transmets l’information au docteur pour vérification.,,,,,,,,,,
LITIGE_mutuelle_injoignable_4,scenario_principal,Litige administratif,0,Mutuelle ne répond pas ou refuse remboursement,contact_mutuelle,Ma mutuelle ne répond pas ou refuse de me rembourser.,Je comprends votre frustration. Souhaitez-vous que je vous envoie une copie du devis et de la facture pour relancer votre mutuelle ?,"mutuelle injoignable,mutuelle muette,refus remboursement,pas de réponse mutuelle,contact difficile",false,fournir_documents,admin_litige,existant,,Aider à reconstituer le dossier mutuelle,téléphone,,Je peux vous renvoyer tous les justificatifs nécessaires.,,,,,,,,,,
LITIGE_absence_devis_5,scenario_principal,Litige administratif,0,Patient dit ne jamais avoir reçu le devis,devis_non_recu,"Je n’ai jamais eu de devis, on ne me l’a pas présenté.","Je suis navrée. Je vais regarder dans votre dossier. S’il n’a pas été signé, je vais vous le renvoyer.","devis non reçu,pas de devis,devis absent,devis non présenté,jamais vu,pas signé",false,verifier_signature_et_envoyer,admin_litige,existant,,Reprise contact et traçabilité,téléphone,,Je vérifie et vous renvoie le document si besoin.,,,,,,,,,,
LITIGE_conflit_diff_tarif_6,scenario_principal,Litige administratif,0,Patient constate un tarif différent entre devis et facture,tarif_non_conforme,Le prix final ne correspond pas à ce qui était sur le devis.,Je comprends. Il arrive que certains actes soient modifiés en fonction de la situation clinique. Je vérifie ce qui a été réalisé.,"tarif différent,prix non conforme,devis ≠ facture,écart tarifaire,plus cher,pas prévu",false,analyser_ecart_tarif,admin_litige,existant,,Documenter variations possibles,téléphone,,Je regarde les différences éventuelles entre ce qui était prévu et ce qui a été fait.,,,,,,,,,,
LITIGE_retard_transmission_7,scenario_principal,Litige administratif,0,Retard dans la télétransmission,transmission_retard,"Cela fait plus de 15 jours, toujours rien reçu.",Je vais m’assurer que la télétransmission a bien été faite. Parfois les délais peuvent varier. Je vous tiens informé.,"retard télétransmission,transmission en retard,délai long,rien reçu après 15 jours,longtemps,attente",false,verifier_date_transmission,admin_litige,existant,,Confirmer date exacte envoi,téléphone,,Je regarde si tout est bien parti du cabinet.,,,,,,,,,,
LITIGE_question_remb_implant_8,scenario_principal,Litige administratif,0,Patient croit qu’un acte non remboursé devrait l’être,remboursement_implant,Je croyais que l’implant était remboursé !,Les implants ne sont malheureusement pas pris en charge par la Sécurité sociale. Certaines mutuelles les remboursent partiellement. Avez-vous contacté la vôtre ?,"remboursement implant,implant remboursé ?,mutuelle implant,erreur remboursement,pas pris en charge,sécu",false,expliquer_non_remboursement,admin_litige,existant,,Sensibilisation patient,téléphone,,"C’est souvent un acte à charge du patient, je peux vous aider à relire votre contrat mutuelle.",,,,,,,,,,
LITIGE_suivi_demande_mutuelle_9,scenario_principal,Litige administratif,0,Patient veut savoir si sa demande est bien partie à la mutuelle,suivi_envoi_mutuelle,Est-ce que vous avez bien envoyé le devis à ma mutuelle ?,"En général, c’est au patient de transmettre le devis à sa mutuelle. Souhaitez-vous que je vous le renvoie par email ?","envoi devis,transmission devis,suivi devis,mutuelle reçu devis ?,parti,envoyé",false,retransmettre_devis,admin_litige,existant,,Clarifier les rôles,téléphone,,Je peux vous le renvoyer pour que vous puissiez faire le nécessaire.,,,,,,,,,,
LITIGE_pas_de_news_mutuelle_10,scenario_principal,Litige administratif,0,Mutuelle muette après devis transmis,absence_reponse_mutuelle,Ma mutuelle ne m’a jamais répondu après envoi du devis.,Cela peut arriver. Je vous renvoie le devis si besoin pour que vous puissiez relancer. Voulez-vous que je le fasse maintenant ?,"mutuelle muette,pas de retour devis,pas de nouvelles,silence mutuelle,rien reçu",false,relancer_dossier,admin_litige,existant,,Refaire envoi et conseiller relance,téléphone,,Je vous aide à reconstituer le dossier si nécessaire.,,,,,,,,,,
ETR_01,scenario_principal,Patient étranger,1,Ne parle pas français,barriere_langue,No French... I need a dentist.,Welcome. Do you speak English? I will try to help. Please give me your name and phone number.,"no french,anglais,english,language barrier,foreign patient,speak english,don't speak french",false,switch_langue_ou_collecter_infos_base,patient_etranger,nouveau,,Communication limitée,téléphone,,Do you speak English or another language?,,,,,,,,,,
CORR_1,scenario_principal,Patient référé par correspondant,0,Patient signale avoir été envoyé par un professionnel,prise_rdv_referent,Mon dentiste m’a conseillé de vous appeler pour un avis.,"Très bien. Qui est votre dentiste ou médecin, et pour quel motif vous a-t-il orienté vers nous ?","dentiste m’a envoyé,médecin référent,orientation confrère,référé,envoyé par docteur,conseillé,vient de la part",false,identifier_correspondant_et_motif,,Identifier le professionnel ayant orienté + motif d’envoi,,nouveau,téléphone,Avis/consultation spécialisée sur orientation d’un tiers,Pouvez-vous me préciser le nom du praticien qui vous envoie et la raison de votre venue ?,,,,,,,,,,
URG_externe_refus_politique,scenario_principal,Urgence nouveau patient,2,Cabinet ne prend pas d’urgences externes,urgence,"Je ne suis pas suivi chez vous, mais j’ai mal et je cherche un rendez-vous.","Je suis navrée, nous réservons les créneaux d’urgence à nos patients suivis. Je vous recommande de contacter le service de garde au 09 705 00 205.","urgence externe,pas suivi,dent cassée urgence,mal aux dents nouveau patient,service garde,pas patient,nouveau",false,refus_et_orientation_externe,,Message à adapter selon région,,nouveau,téléphone,Cabinet fermé aux urgences extérieures,"Malheureusement, nous ne pouvons pas prendre d’urgences externes. Vous pouvez contacter le service de garde au 09 705 00 205.",,,,,,,,,,
CONFLIT_refus_venirdent_cassee_9,scenario_principal,Conflit ou refus de soin,0,Patient veut une solution sans se déplacer,refus_deplacement,"Je ne peux pas venir, mais ma dent est cassée, vous ne pouvez rien faire par téléphone ?","Je suis désolée, mais le praticien doit vous voir pour établir un diagnostic. Souhaitez-vous que je vous propose un rendez-vous ?","dent cassée,refus déplacement,pas venir,solution téléphone,urgence à distance,loin,impossible",false,inciter_consultation,admin_conflit,inconnu,,Protocole de non-diagnostic à distance,téléphone,,Le praticien a besoin de vous voir pour décider du traitement.,,,,,,,,,,
ETR_02,scenario_principal,Patient étranger,1,Patient anglophone souhaite un contrôle,controle_patient_anglophone,I would like a check-up please.,Of course. May I have your name and phone number so I can book an appointment for you?,"check-up,control,appointment english,dentist english,cleaning,exam",false,collecter_infos_anglais,patient_etranger,nouveau,ETR_01,Consultation en anglais,téléphone,,Let me find you the next available appointment.,,,,,,,,,,
RDV_patient_existant_1A,scenario_principal,RDV patient existant,1,Identification du patient,prise_rdv,"Je suis Julie Durand, c'est mon nom, vous devez avoir mon dossier au cabinet",Merci Mme Durand. Quel est le motif de votre rendez-vous ?,"patient existant,identification,motif,nom,prénom,c'est moi,je suis,dossier",false,demander_motif,,Identifier identité du patient,Ouverture_appel_A,existant,téléphone,Identification obligatoire,Pouvez-vous me confirmer votre prénom et nom s'il vous plaît ?,,,,,,,,,,
RDV_existant_nom_confus,scenario_principal,RDV patient existant,1,Nom patient ambigu,prise_rdv_nom_ambigu,"C’est Martin, j’ai déjà eu un rendez-vous ici.",Pouvez-vous me préciser votre numéro de téléphone pour que je vous retrouve dans notre système ?,"nom ambigu,confusion identité,date de naissance,multi-fiches,identification,patient existant,téléphone,numero de téléphone,confirmer téléphone,vérifier identité,plusieurs,homonyme",false,resoudre_conflit_identite,,Important pour éviter erreur dossier,RDV_patient_existant_1A,existant,téléphone,Recherche multi-fiches,"Il y a plusieurs Martin, pouvez-vous me confirmer votre prénom complet ?",,,,,,,,,,
ENF_1,scenario_principal,Patient enfant,1,Appel du parent pour un enfant,prise_rdv_enfant,C'est Madame Martin et ma fille Sarah Dupont., a-t-il déjà été suivi chez nous ?,"tiers,enfant,parent,nom enfant,rendez-vous pour un tiers,fille,fils,petit",false,identifier_enfant_et_historique,,Vérifier si fiche existante ou à créer,Ouverture_appel_H,enfant,téléphone,Création ou confirmation du dossier enfant,Quel est son nom complet et sa date de naissance ?,,,,,,,,,,
VERIF_nom_patient,scenario_intermediaire,RDV patient ,1,Vérification du nom,verification_nom,Julie ,Je n’ai pas trouvé de fiche pour 'Julie'. Pouvez-vous me confirmer votre prénom et nom exacts ?,"nouveau patient,nom inconnu,fiche introuvable,non trouvé,nom ambigu,orthographe,identité,téléphone,confirmer téléphone,épeler,écrit comment",false,demander_confirmation_nom,,Vérifier identité du patient,RDV_patient_existant_1A,existant / nouveau ,téléphone,,"Julie, c'est bien cela ? Pouvez-vous aussi me confirmer votre numéro de téléphone ?",,,,,,,,,,
RDV_existant_urgence,scenario_principal,RDV patient existant,2,Patient existant avec douleur,prise_rdv,"J’ai mal à une dent depuis ce matin, c’est urgent.",Je comprends. Nous allons essayer de vous proposer un créneau dès aujourd’hui. Avez-vous un praticien habituel ?,"mal dent,urgence,douleur,rdv urgent,dentiste rapidement,rdv aujourd’hui,très mal,souffre",false,identifier_praticien_urgence,,Cas à prioriser selon politique cabinet,,existant,téléphone,"Cas urgent, filtre par praticien",Nous allons voir ce qu'on peut faire pour aujourd'hui. Quel est votre praticien habituel ?,,,,,,,,,,
CONFLIT_refus_soin_douloureux_4,scenario_principal,Conflit ou refus de soin,2,Patient craint un soin douloureux,refus_peur_douleur,"Je ne veux pas faire ce soin, j’ai trop peur que ça fasse mal.",C’est une crainte fréquente. Le praticien prendra toutes les précautions pour votre confort. Souhaitez-vous en discuter avant de vous décider ?,"peur douleur,refus soin,peur dentiste,phobie dentaire,soin douloureux,anxiété,crainte,angoisse,peur",false,reassurer_patient,admin_conflit,existant,,Accompagnement patient phobique,téléphone,,On peut aussi prévoir un premier rendez-vous sans soin si vous préférez.,,,,,,,,,,
CONFLIT_demande_soin_non_indique_5,scenario_principal,Conflit ou refus de soin,2,Patient veut un soin que le praticien refuse,soin_non_indique,"Je veux une couronne, même si vous dites que ce n’est pas nécessaire.","Le praticien agit dans votre intérêt. Je peux lui transmettre votre demande, mais sa décision repose sur un avis médical.","soin non indiqué,patient exige,couronne non nécessaire,refus praticien,demande insistante,désaccord soin,je veux,insiste",false,expliquer_refus_clinique,admin_conflit,existant,,Défense de l'indication médicale,téléphone,,"Je peux lui en parler, mais il vous proposera ce qui est adapté à votre santé bucco-dentaire.",,,,,,,,,,
CONFLIT_refus_soin_enfant_non_urgent_7,scenario_principal,Ouverture appel,2,Parent insiste pour un soin non urgent sur un enfant,refus_soin_enfant,"Je veux qu’on lui fasse une radio aujourd’hui, même si ce n’est pas prévu !",Le praticien adaptera les soins selon ce qu’il jugera nécessaire au moment de la consultation.,"soin enfant,radio enfant,refus indication,demande parent,insistance parent,soin non urgent,tout de suite,maintenant",false,rappeler_autorite_clinique,admin_conflit,parent,,Ne pas céder sur l’indication,téléphone,,Le docteur décidera sur place s’il juge cela utile pour votre enfant.,,,,,,,,,,
ORTHO_1,scenario_principal,Orthodontie enfant,2,Premier contact pour un enfant,prise_rdv_ortho_enfant,Je voudrais un rendez-vous pour un traitement d’orthodontie pour ma fille.,Très bien. Est-ce que votre enfant a déjà eu un suivi orthodontique ou ce serait une première consultation ?,"orthodontie,rendez-vous,proche,bagues,appareil",true,identifier_premier_contact_ou_suivi,,Faire la distinction entre consultation initiale et suivi,,enfant,téléphone,Orthodontiste dédié ou généraliste formé ?,Est-ce un premier avis ou un traitement déjà commencé ?,,,,,,,,,,
